OGG,gene_Mphar,gene_Amel,gene_Dmel_FLYBASE,uniprot
EOG88GXR7,LOC105832317,LOC410894,FBpp0082843,RE04676p
EOG88GXR7,LOC105832317,LOC410894,FBpp0289337,"CG31266, isoform B"
EOG88GXR7,LOC105832317,LOC410894,FBpp0082845,CG31267
EOG88GXR7,LOC105832317,LOC410894,FBpp0112313,CG31269
EOG88GXR7,LOC105832318,LOC410894,FBpp0082859,CG17477
EOG88GXR7,LOC105832318,LOC410894,FBpp0082858,RE05031p
EOG88GXR7,LOC105832318,LOC410894,FBpp0292474,CG4053
EOG88GXR7,LOC105832318,LOC410894,FBpp0082846,LP06628p
EOG88GXR7,LOC105832318,LOC410894,FBpp0082847,CG5255
EOG88GXR7,LOC105832318,LOC410894,FBpp0082843,RE04676p
EOG88GXR7,LOC105832318,LOC410894,FBpp0289337,"CG31266, isoform B"
EOG88GXR7,LOC105832318,LOC410894,FBpp0082845,CG31267
EOG88GXR7,LOC105832318,LOC410894,FBpp0112313,CG31269
EOG8X995J,LOC105836686,LOC408710,FBpp0298043,QKR58E-3
EOG8X995J,LOC105836686,LOC408710,FBpp0071739,QKR58E-2
EOG8X995J,LOC105836686,LOC408710,FBpp0071754,QKR58E-1
EOG8X995J,LOC105836686,LOC408710,FBpp0303881,"Quaking related 54B, isoform C"
EOG8X995J,LOC105836686,LOC408710,FBpp0071633,CG4021
EOG8X995J,LOC105836686,LOC408710,FBpp0309755,"CG10384, isoform B"
EOG8X995J,LOC105836686,LOC408710,FBpp0071764,AT29209p
EOG8X995J,LOC105836686,LOC408710,FBpp0071772,CG3875
EOG8HB087,LOC105836684,LOC410893,FBpp0305656,"Transcription factor AP-2, isoform E"
EOG870W5F,LOC105829971,LOC551849,FBpp0081556,RE01362p
EOG870W5F,LOC105829971,LOC551849,FBpp0081980,CG18547
EOG870W5F,LOC105829971,LOC551849,FBpp0297636,CG12224
EOG870W5F,LOC105829971,LOC551849,FBpp0081978,CG3397
EOG8VMH2M,LOC105831073,LOC408705,FBpp0070765,BcDNA.LD23634
EOG818D8G,LOC105840454,LOC551743,FBpp0084049,  
EOG8JQ5N5,LOC105830568,LOC724162,FBpp0081263,Mitochondrial ribosomal protein S9
EOG89W427,LOC105830567,LOC413265,FBpp0081250,RH15640p
EOG8KH4G4,LOC105830569,LOC552307,FBpp0081249,CG10092
EOG82NKMC,LOC105828850,LOC724424,FBpp0073890,CG9203
EOG81G4QV,LOC105828849,LOC411955,FBpp0082643,CG31150
EOG8JHF49,LOC105828851,LOC100579003,FBpp0081148,GH04034p
EOG8Z0CTF,LOC105837481,LOC552405,FBpp0075595,"CG10222, isoform A"
EOG8RV4FJ,LOC105834446,LOC552471,FBpp0088016,"39S ribosomal protein L52, mitochondrial"
EOG8HDVFT,LOC105836903,LOC411349,FBpp0073346,RE64552p
EOG8HDVFT,LOC105836903,LOC411349,FBpp0072854,LD11247p
EOG8MPKB6,LOC105829224,LOC409039,FBpp0294055,Breast carcinoma-amplified sequence 3 homolog
EOG8JQ5KG,LOC105840456,LOC725008,FBpp0309197,Protein trapped in endoderm-1
EOG85DZ96,LOC105830415,LOC725119,FBpp0112984,"Phospholipase D, isoform F"
EOG8H47QX,LOC105837397,LOC413060,FBpp0084594,DNA-binding protein D-ETS-4
EOG85DZ9H,LOC105831777,LOC410891,FBpp0078314,Protein dispatched
EOG8QZ98R,LOC105831915,LOC410890,FBpp0087519,CG12918
EOG8M3BZM,LOC105834849,LOC725396,FBpp0081156,Aly
EOG88D2J9,LOC105834846,LOC408708,FBpp0074250,Ubiquitin-conjugating enzyme E2 S (6.3.2.19)
EOG8T1K97,LOC105834847,LOC725429,FBpp0082786,ARL-6-interacting protein 1 homolog
EOG8R51R1,LOC105831913,LOC410889,FBpp0086405,CG8315
EOG8V9WF3,LOC105835422,LOC725625,FBpp0074903,"CG13698, isoform B"
EOG8Q86MB,LOC105835424,LOC725757,FBpp0076232,LD21748p
EOG86Q8H5,LOC105832482,LOC725742,FBpp0077856,Vacuolar ATPase assembly integral membrane protein VMA21 homolog
EOG86Q8H5,LOC105832482,LOC725742,FBpp0083792,CG13829
EOG8TF266,LOC105832476,LOC408706,FBpp0292999,"Hsc70Cb, isoform G"
EOG83N90K,LOC105832480,LOC725891,FBpp0303988,RE01517p
EOG81C8HV,LOC105832475,LOC412076,FBpp0075560,Vacuolar protein-sorting-associated protein 36
EOG8N063G,LOC105828334,LOC726009,FBpp0070832,"CG5941, isoform A"
EOG834XTR,LOC105831918,LOC551412,FBpp0079907,Polycomb protein esc
EOG834XTR,LOC105831918,LOC551412,FBpp0079870,SD02661p
EOG8MSFN2,LOC105828328,LOC726085,FBpp0075967,  
EOG8FTXN0,LOC105834359,LOC551508,FBpp0303474,FI21450p1
EOG8H47R9,LOC105832233,LOC409566,FBpp0078331,GH08712p
EOG8MW9V0,LOC105832218,LOC412678,FBpp0099888,"CG6782, isoform A"
EOG82JQC4,LOC105832202,LOC413955,FBpp0300832,"CG43163, isoform C"
EOG889676,LOC105831951,LOC410887,FBpp0082003,SET domain binding factor
EOG89PCKC,LOC105832182,LOC726187,FBpp0074558,"Adaptor protein complex 1/2, beta subunit"
EOG82Z6DJ,LOC105831995,LOC726295,FBpp0084242,40S ribosomal protein S27
EOG8CJX3V,LOC105828326,LOC410886,FBpp0074189,E3 ubiquitin-protein ligase UBR1 (6.3.2.-)
EOG8DNGR5,LOC105838488,LOC410882,FBpp0302633,"CG43689, isoform F"
EOG8F7Q86,LOC105830433,LOC410883,FBpp0071767,RH31535p
EOG8SJ73Z,LOC105840090,LOC550665,FBpp0083912,Transcription initiation factor IIA subunit 2
EOG8RNCWK,LOC105840084,LOC724553,FBpp0087169,Metallo endopeptidase
EOG85HTKC,LOC105840085,LOC413023,FBpp0086648,CG13016
EOG8ZSBQG,LOC105830284,LOC727293,FBpp0078625,CG18143
EOG805TPS,LOC105832244,LOC727300,FBpp0083110,CG14297
EOG805TPS,LOC105832244,LOC727300,FBpp0100064,Low molecular weight phosphotyrosine protein phosphatase 2 (3.1.3.48)
EOG805TPS,LOC105832244,LOC727300,FBpp0099893,Low molecular weight phosphotyrosine protein phosphatase 1 (3.1.3.48)
EOG805TPS,LOC105832244,LOC727300,FBpp0082309,CG31469
EOG8FBKF5,LOC105836009,LOC410879,FBpp0090943,CG33505
EOG8B2VKK,LOC105836011,LOC727308,FBpp0088144,CG1862
EOG8JWX2H,LOC105837407,LOC102655500,FBpp0307879,Dual specificity tyrosine-phosphorylation-regulated kinase 2 (2.7.12.1)
EOG8JWX2H,LOC105837407,LOC102655500,FBpp0099816,  
EOG8JWX2H,LOC105837407,LOC411871,FBpp0307879,Dual specificity tyrosine-phosphorylation-regulated kinase 2 (2.7.12.1)
EOG8JWX2H,LOC105837407,LOC411871,FBpp0099816,  
EOG85B34R,LOC105837410,LOC725357,FBpp0072342,CG12848
EOG8G4JBP,LOC105833128,LOC725325,FBpp0074517,Glucose-6-phosphate 1-dehydrogenase (1.1.1.49)
EOG8BK6QP,LOC105835205,LOC412331,FBpp0072946,AT25231p
EOG8VQC9C,LOC105835206,LOC100578715,FBpp0075947,Protein wntless
EOG83JDSN,LOC105835202,LOC412330,FBpp0071067,CG2257
EOG84F7XB,LOC105828767,LOC408701,FBpp0077056,"CG17598, isoform A"
EOG84TQX0,LOC105834036,LOC408702,FBpp0071543,CG30390
EOG8C89G8,LOC105830235,LOC726987,FBpp0074892,Geko
EOG81VMRV,LOC105830233,LOC100578730,FBpp0074893,"CG7330, isoform A"
EOG88968R,LOC105830232,LOC100576284,FBpp0074900,CG13699
EOG8K0S8C,LOC105830371,LOC100578356,FBpp0086122,Apaf-1 related killer DARK
EOG88PP7Z,LOC105834997,LOC413186,FBpp0081589,CG9396
EOG88PP7Z,LOC105834997,LOC413186,FBpp0081587,"CG9399, isoform A"
EOG88PP7Z,LOC105834997,LOC413186,FBpp0080513,"CG32832, isoform A"
EOG87WQB1,LOC105831773,LOC411671,FBpp0086392,RIC (Ras which interacts with Calmodulin)
EOG8H47QR,LOC105835002,LOC100576433,FBpp0070764,"CG3309, isoform A"
EOG8NZWF0,LOC105839380,LOC551711,FBpp0086041,Kinesin-like protein subito
EOG8VT7JR,LOC105834996,LOC726924,FBpp0082658,Synapse-associated protein of 47 kDa
EOG80K9KK,LOC105831771,LOC551801,FBpp0088194,Host cell factor
EOG80P5TJ,LOC105831776,LOC550806,FBpp0072693,Coatomer subunit alpha
EOG8RNCX8,LOC105831770,LOC410877,FBpp0077763,"CG11377, isoform B"
EOG8RNCX8,LOC105831770,LOC726865,FBpp0077763,"CG11377, isoform B"
EOG8MSFM6,LOC105833889,LOC410875,FBpp0079946,  
EOG8RND09,LOC105833890,LOC726840,FBpp0074757,"BET1 ortholog, isoform A"
EOG8K6HR4,LOC105833884,LOC408697,FBpp0111842,"CG10249, isoform C"
EOG8K6HR4,LOC105833884,LOC550928,FBpp0111842,"CG10249, isoform C"
EOG85MPSG,LOC105833886,LOC408694,FBpp0074217,Fimbrin
EOG8SN38J,LOC105837910,LOC410874,FBpp0078862,Lysine-specific demethylase lid (1.14.11.-)
EOG89S7TH,LOC105837907,LOC408693,FBpp0077697,RE44350p
EOG8VT7J6,LOC105837908,LOC102654653,FBpp0112945,Dihydropyrimidinase mutant supA4
EOG8QC2VH,LOC105840690,LOC726711,FBpp0086057,CG30105
EOG8QC2VH,LOC105833460,LOC726711,FBpp0086057,CG30105
EOG84QVN6,LOC105831464,LOC726679,FBpp0084312,SD08037p
EOG82JQCJ,LOC105834410,LOC552365,FBpp0087732,Protein lines
EOG8NW163,LOC105833272,LOC412132,FBpp0072194,Serine/threonine-protein kinase Genghis Khan (2.7.11.1)
EOG8STTSC,LOC105828692,LOC550664,FBpp0087318,CG7222
EOG8PCCD9,LOC105832946,LOC726583,FBpp0078142,DNA polymerase eta
EOG8X9949,LOC105833181,LOC408699,FBpp0310596,CG42241
EOG85B34N,LOC105839006,LOC413845,FBpp0074672,LD34461p
EOG85B34N,LOC105839006,LOC413845,FBpp0081792,Tomboy20
EOG8DV784,LOC105839004,LOC551872,FBpp0072572,GH12864p
EOG8P5MX4,LOC105828344,LOC412700,FBpp0071503,Xeroderma pigmentosum D
EOG84QVN7,LOC105828690,LOC409092,FBpp0074970,Enhancer of mRNA-decapping protein 3
EOG8B8M1N,LOC105837757,LOC409246,FBpp0070802,MAP kinase-activated protein kinase 2 (2.7.11.1)
EOG8283NV,LOC105833299,LOC102655971,FBpp0072613,"CG2277, isoform A"
EOG8RV4FT,LOC105833522,LOC725491,FBpp0289266,CG42381
EOG8Z90KG,LOC105833521,LOC102656357,FBpp0071597,"CG9865, isoform A"
EOG8DNGTJ,LOC105834888,LOC410853,FBpp0070537,Irregular chiasm C-roughest protein
EOG8DNGTJ,LOC105834888,LOC410853,FBpp0070534,EG:163A10.1 protein
EOG8DNGTJ,LOC105834888,LOC726884,FBpp0070537,Irregular chiasm C-roughest protein
EOG8DNGTJ,LOC105834888,LOC726884,FBpp0070534,EG:163A10.1 protein
EOG8H47RF,LOC105835862,LOC410856,FBpp0071753,DAP3
EOG8PCCFN,LOC105829488,LOC410854,FBpp0070426,Seipin
EOG8VDRKX,LOC105838701,LOC410855,FBpp0074613,CG6434
EOG8VDRKX,LOC105838701,LOC410855,FBpp0077900,Retinoblastoma-binding protein 5 homolog
EOG8WSZ09,LOC105838655,LOC408686,FBpp0080794,Protein ref(2)P
EOG81C8JD,LOC105839352,LOC100578144,FBpp0070585,RE11719p
EOG8B5QT3,LOC105839351,LOC408687,FBpp0082832,  
EOG8B5QT3,LOC105839351,LOC408687,FBpp0083432,  
EOG80P5VR,LOC105839355,LOC410860,FBpp0074933,Battenin
EOG805TP4,LOC105839363,LOC102654726,FBpp0074981,CG18265
EOG8CC5NM,LOC105832002,LOC410863,FBpp0070302,EG:86E4.4 protein
EOG8615SX,LOC105832015,LOC410864,FBpp0087861,CG2158
EOG8Q2G4C,LOC105838102,LOC724851,FBpp0309325,"Beadex, isoform F"
EOG86X0X9,LOC105829304,LOC724507,FBpp0075767,"CG7264, isoform A"
EOG80P5VW,LOC105838784,LOC410869,FBpp0083533,GH19864p
EOG8QC2VC,LOC105839647,LOC408691,FBpp0300874,RING-box protein 1A
EOG8BCG8F,LOC105838542,LOC410871,FBpp0084673,CG9986
EOG8CJX51,LOC105838543,LOC410872,FBpp0082065,Ubiquitin-like protein activating enzyme N subunit
EOG812NTC,LOC105838803,LOC410851,FBpp0075500,Bicaudal D-related protein homolog
EOG8PG7NW,LOC105838805,LOC410850,FBpp0082802,CG14905
EOG8TB60C,LOC105838806,LOC551122,FBpp0080766,AT13050p
EOG8TB60C,LOC105838806,LOC551122,FBpp0080737,CG10750 protein
EOG86DNPZ,LOC105838802,LOC410849,FBpp0077461,Protein sly1 homolog
EOG8H47SS,LOC105835858,LOC724600,FBpp0074314,CG7772
EOG8NCP1M,LOC105835864,LOC410844,FBpp0304961,"M6, isoform E"
EOG85TF8H,LOC105835863,LOC550739,FBpp0078042,Serine/threonine-protein kinase PLK4 (2.7.11.21)
EOG81ZGZK,LOC105828589,LOC552101,FBpp0293886,"CG5921, isoform E"
EOG8PCCCX,LOC105828597,LOC552074,FBpp0289035,"CG42321, isoform K"
EOG84J465,LOC105835758,LOC725058,FBpp0306007,Intermediate neuroblasts defective protein
EOG8KH4FV,LOC105833447,LOC413130,FBpp0072561,"CG2469, isoform A"
EOG8XKWTR,LOC105833294,LOC408680,FBpp0293114,Ryanodine receptor 44F
EOG82Z6B0,LOC105836922,LOC725294,FBpp0292247,Tyrosine-protein phosphatase 99A (3.1.3.48)
EOG8B008Z,LOC105828593,LOC408670,FBpp0305766,"Down syndrome cell adhesion molecule 4, isoform H"
EOG851GBH,LOC105832155,LOC551689,FBpp0082727,Nucleolar protein 6
EOG8NS50C,LOC105837090,LOC725696,FBpp0071731,RNA polymerase-associated protein Rtf1
EOG8NS517,LOC105837094,LOC725718,FBpp0072097,Cofilin/actin-depolymerizing factor homolog
EOG8NS517,LOC105837094,LOC725718,FBpp0256501,Similar to Drosophila melanogaster tsr
EOG8BVTFM,LOC105834998,LOC551595,FBpp0088070,WD repeat-containing protein CG11141
EOG81C8K1,LOC105835001,LOC409236,FBpp0082522,"ATP synthase subunit O, mitochondrial"
EOG8HTBFK,LOC105837092,LOC725758,FBpp0077620,CG14340
EOG8HTBFK,LOC105837092,LOC725758,FBpp0303013,"CG34351, isoform D"
EOG8C2JZ6,LOC105837091,LOC409235,FBpp0071732,GH03113p
EOG8BP308,LOC105828170,LOC551476,FBpp0086205,CG6796
EOG8283NB,LOC105828169,LOC409322,FBpp0291500,LD11480p
EOG8MGTWQ,LOC105828502,LOC412030,FBpp0079054,RE14786p
EOG8H740P,LOC105828496,LOC725930,FBpp0085611,"CG11200, isoform A"
EOG8XSNC6,LOC105828497,LOC725957,FBpp0078823,Krueppel homolog 2
EOG8MCZNK,LOC105828498,LOC551330,FBpp0083802,40S ribosomal protein S3
EOG8MCZNK,LOC105834357,LOC551330,FBpp0083802,40S ribosomal protein S3
EOG8JDJTG,LOC105837746,LOC410829,FBpp0309770,"CG34120, isoform D"
EOG8GMWHS,LOC105832868,LOC551167,FBpp0086914,Multidrug resistance protein homolog 49 (3.6.3.44)
EOG8GMWHS,LOC105832868,LOC551167,FBpp0076719,Multidrug resistance protein homolog 65 (3.6.3.44)
EOG8GMWHS,LOC105832868,LOC551167,FBpp0086666,P-glycoprotein/multidrug resistance protein
EOG8GMWHS,LOC105832868,LOC551167,FBpp0076720,"CG10226, isoform B"
EOG81ZH05,LOC105830093,LOC412133,FBpp0303324,Yemanuclein-alpha
EOG84N0DG,LOC105828819,LOC411672,FBpp0078034,Neuropeptides capa receptor
EOG84N0DG,LOC105829459,LOC411672,FBpp0078034,Neuropeptides capa receptor
EOG8G1P36,LOC105829460,LOC411763,FBpp0080148,"DNA polymerase subunit gamma-1, mitochondrial (2.7.7.7)"
EOG8CG1X1,LOC105829458,LOC726438,FBpp0077193,"Cep97, isoform D"
EOG8W9KS4,LOC105829464,LOC100576706,FBpp0076113,"CG8336, isoform A"
EOG8X3JPR,LOC105835279,LOC550663,FBpp0292905,  
EOG8MKQ38,LOC105835278,LOC410825,FBpp0080067,HL01216p
EOG8XKWV7,LOC105829516,LOC552073,FBpp0290455,CG8646
EOG8XKWV7,LOC105829516,LOC552073,FBpp0074908,RE13542p
EOG8XKWV7,LOC105829516,LOC552073,FBpp0074909,CG7402
EOG8XKWV7,LOC105829516,LOC552073,FBpp0300164,"CG32191, isoform B"
EOG8XKWV7,LOC105833694,LOC552073,FBpp0290455,CG8646
EOG8XKWV7,LOC105833694,LOC552073,FBpp0074908,RE13542p
EOG8XKWV7,LOC105833694,LOC552073,FBpp0074909,CG7402
EOG8XKWV7,LOC105833694,LOC552073,FBpp0300164,"CG32191, isoform B"
EOG8RR848,LOC105838785,LOC410823,FBpp0087555,Transient-receptor-potential-like protein
EOG8RR848,LOC105838785,LOC410823,FBpp0307143,Transient receptor potential-gamma protein
EOG8F4TZF,LOC105837208,LOC408668,FBpp0077263,  
EOG886B1W,LOC105837196,LOC724554,FBpp0070852,Protein THEM6
EOG886B1W,LOC105837196,LOC724554,FBpp0070851,RH58440p
EOG866X7T,LOC105831099,LOC410821,FBpp0303596,"Tetraspanin 5D, isoform C"
EOG8BCG9P,LOC105837304,LOC100576254,FBpp0300510,"CG5928, isoform C"
EOG8BCG9P,LOC105837304,LOC102655220,FBpp0300510,"CG5928, isoform C"
EOG80CK4M,LOC105831526,LOC724919,FBpp0087562,CG1665
EOG8PG7N0,LOC105840691,LOC410820,FBpp0303594,"CG42265, isoform D"
EOG8V7142,LOC105831221,Eyg,FBpp0075711,Eyegone
EOG8V7142,LOC105831221,Eyg,FBpp0075712,"Twin of eyg, isoform B"
EOG8CJX67,LOC105837703,LOC408666,FBpp0074411,"PDGF-and VEGF-related factor 1, isoform B"
EOG81RRJH,LOC105838486,LOC102653940,FBpp0087553,Cdi4
EOG8HB06B,LOC105839341,LOC408664,FBpp0072450,"Homeodomain interacting protein kinase, isoform C"
EOG8CRNN6,LOC105839342,LOC725358,FBpp0073525,"CG4645, isoform A"
EOG81ZGZC,LOC105839055,LOC410816,FBpp0086957,"CG8632, isoform B"
EOG8615T4,LOC105833875,TpnI,FBpp0074298,Troponin I
EOG86HJ09,LOC105835389,LOC408663,FBpp0073576,Ferritin
EOG8N8SSD,LOC105838495,LOC100576818,FBpp0079234,Dolichyl-phosphate beta-glucosyltransferase (2.4.1.117)
EOG8NZWGT,LOC105835343,LOC408672,FBpp0291024,Apoptosis-linked gene-2
EOG8M0GNV,LOC105833347,LOC410833,FBpp0081451,Adenosine deaminase-like protein (3.5.4.-)
EOG8D80TC,LOC105834405,LOC725697,FBpp0071982,Protein dead ringer
EOG85QK0Z,LOC105833356,InR-2,FBpp0083519,Insulin-like receptor (2.7.10.1)
EOG8QC2TF,LOC105828793,LOC408675,FBpp0078694,  
EOG8W6QK0,LOC105828795,LOC100577661,FBpp0072302,Juvenile hormone esterase binding protein 29
EOG808PVQ,LOC105828782,LOC408677,FBpp0086659,CG30069
EOG8DNGTD,LOC105828787,LOC410837,FBpp0076936,Microsomal glutathione S-transferase-like protein
EOG8DNGTD,LOC105828787,LOC410837,FBpp0073779,CG33177
EOG8DNGTD,LOC105828787,LOC410837,FBpp0309372,"CG33178, isoform A"
EOG8DNGTD,LOC105828786,LOC410837,FBpp0076936,Microsomal glutathione S-transferase-like protein
EOG8DNGTD,LOC105828786,LOC410837,FBpp0073779,CG33177
EOG8DNGTD,LOC105828786,LOC410837,FBpp0309372,"CG33178, isoform A"
EOG8TXDDP,LOC105834409,LOC552747,FBpp0080551,"CG6453, isoform A"
EOG8VT7KB,LOC105841077,LOC410840,FBpp0072803,Protein daughter of sevenless
EOG87H7CC,LOC105833452,LOC413164,FBpp0073959,LD12946p
EOG80VX9C,LOC105833451,LOC408662,FBpp0085689,Oseg6
EOG8HB06W,LOC105834167,LOC411764,FBpp0112085,Bestrophin 4
EOG8HB06W,LOC105834167,LOC411764,FBpp0075371,Bestrophin 3
EOG8HB06W,LOC105834167,LOC411764,FBpp0297165,"Bestrophin 1, isoform B"
EOG8MW9SW,LOC105834166,LOC409192,FBpp0088794,"CG33298, isoform A"
EOG898WNP,LOC105833582,LOC411766,FBpp0088615,Acyl-CoA synthetase family member 4 homolog (6.2.1.-)
EOG82JQCV,LOC105839003,LOC725441,FBpp0087645,  
EOG8CRNMK,LOC105837389,LOC412175,FBpp0086007,LD45365p
EOG8PG7NQ,LOC105830293,LOC552183,FBpp0301765,SD01527p
EOG8BGBHN,LOC105830289,LOC411697,FBpp0082092,GM09085p
EOG8BGBHN,LOC105830289,LOC411697,FBpp0083227,Arc42
EOG8R25HF,LOC105830294,LOC409164,FBpp0086986,CG30053
EOG815J18,LOC105829483,LOC724299,FBpp0293366,"CG31302, isoform G"
EOG8WSZ0M,LOC105838723,LOC724341,FBpp0085698,Protein windbeutel
EOG8BP2ZW,LOC105830656,LOC409151,FBpp0082555,Ataxin-2 homolog
EOG8NZWFK,LOC105830653,LOC102656093,FBpp0081355,  
EOG8N3293,LOC105830652,LOC724792,FBpp0086110,CG6522
EOG8TMSPJ,LOC105833359,LOC726570,FBpp0073887,CWF19-like protein 2 homolog
EOG8QVF0D,LOC105836247,LOC551492,FBpp0081828,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 homolog"
EOG81NW7D,LOC105839008,LOC550895,FBpp0086676,General transcription factor IIH subunit 1
EOG8KSR5W,LOC105833851,LOC552092,FBpp0074619,"CG17233, isoform F"
EOG8283PN,LOC105829163,LOC409086,FBpp0074865,Caprin homolog
EOG8M0GPZ,LOC105829506,LOC552037,FBpp0302861,POC1 centriolar protein homolog
EOG83XWTF,LOC105829504,LOC725138,FBpp0303150,"Atox1, isoform B"
EOG89GN47,LOC105829507,LOC552012,FBpp0308304,LD10453p
EOG83R592,LOC105828333,LOC725070,FBpp0303479,DNAation factor DREP-1
EOG83R592,LOC105828333,LOC725070,FBpp0087087,"DNAation factor-related protein 3, isoform A"
EOG8GB8VS,LOC105828993,LOC410812,FBpp0081600,Ras-like protein 1
EOG8N3297,LOC105833936,LOC410811,FBpp0089148,GH13542p
EOG85DZBT,LOC105837237,LOC410809,FBpp0085167,Protein pygopus
EOG85HTJ8,LOC105828327,LOC551563,FBpp0081886,CG10898
EOG85HTJ8,LOC105828327,LOC551563,FBpp0084786,RE55959p
EOG8ZW70M,LOC105828330,LOC413142,FBpp0082709,Protein sarah
EOG818D9C,LOC105835000,LOC552620,FBpp0087535,Oxysterol-binding protein
EOG8GQRSZ,LOC105835003,LOC107966117,FBpp0074424,"CG7326, isoform A"
EOG8GQRSZ,LOC105835003,LOC107966117,FBpp0082039,CG10013
EOG8RZ0NC,LOC105833303,LOC552593,FBpp0081384,"39S ribosomal protein L19, mitochondrial"
EOG8B5QT7,LOC105840449,LOC100577742,FBpp0075410,CG6945
EOG8MPK9V,LOC105836382,LOC409034,FBpp0074071,GM14421p
EOG82VB3C,LOC105829505,LOC550804,FBpp0293341,"Mini spindles, isoform B"
EOG82VB3C,LOC105829505,LOC550804,FBpp0074898,CG5103
EOG82VB3C,LOC105829505,LOC550804,FBpp0081370,"CG8036, isoform D"
EOG88D2H8,LOC105836519,LOC410808,FBpp0075091,E3 ubiquitin-protein ligase sina (6.3.2.-)
EOG8SQZKB,LOC105839554,LOC725626,FBpp0082320,RNA-binding protein squid
EOG812NSV,LOC105827889,LOC413209,FBpp0077979,"CG10565, isoform A"
EOG8QC2T1,LOC105834791,LOC409821,FBpp0290554,"Bent, isoform F"
EOG81ZGZ6,LOC105834754,LOC409820,FBpp0078681,AT08017p
EOG8WWT6X,LOC105834757,LOC410130,FBpp0309815,GH05842p
EOG81ZGZB,LOC105833413,LOC552319,FBpp0083687,26S proteasome non-ATPase regulatory subunit 6
EOG85B332,LOC105833412,LOC408649,FBpp0088175,FI14922p
EOG8Z381H,LOC105831468,LOC410795,FBpp0071468,Trehalase (3.2.1.28)
EOG8Z381H,LOC105831468,LOC410795,FBpp0086296,"CG6262, isoform A"
EOG8SQZHK,LOC105831466,LOC726128,FBpp0291294,Lambik
EOG8VMH3X,LOC105834411,LOC408648,FBpp0088192,"CG32850, isoform B"
EOG88SJDS,LOC105835859,LOC410793,FBpp0292877,Apolipoprotein lipid transfer particle
EOG876MMC,LOC105835861,LOC410792,FBpp0083411,CG5745
EOG88GXQ6,LOC105838000,LOC413940,FBpp0081862,LP08082p
EOG8GXH82,LOC105832614,LOC410133,FBpp0088159,Slo-interacting protein 1
EOG8ZPGH7,LOC105834515,LOC726304,FBpp0072449,AT22183p
EOG8RV4CR,LOC105834514,LOC410132,FBpp0071123,CG11190
EOG8TQNXN,LOC105834513,LOC410000,FBpp0079543,LD44026p
EOG8322JX,LOC105832068,LOC410799,FBpp0087637,  
EOG8X0PFC,LOC105832067,LOC726375,FBpp0088172,RE69013p
EOG8STTSB,LOC105832069,LOC408650,FBpp0288569,"CG6910, isoform C"
EOG8D80TT,LOC105834412,LOC408652,FBpp0070171,Protein suppressor of white apricot
EOG8ZGR02,LOC105834909,LOC408653,FBpp0298334,Calcium-dependent secretion activator
EOG8DNGS1,LOC105834911,LOC408655,FBpp0089004,"Fibp, isoform G"
EOG8FFFP9,LOC105834913,LOC726478,FBpp0077404,"Dawdle, isoform A"
EOG8MW9V9,LOC105834900,LOC410801,FBpp0079644,CG5367
EOG854BKZ,LOC105832290,LOC107963987,FBpp0075390,CG13458
EOG89PCKK,LOC105832287,LOC410803,FBpp0112363,"CG33181, isoform C"
EOG89PCKK,LOC105832289,LOC410803,FBpp0112363,"CG33181, isoform C"
EOG89PCKK,LOC105839356,LOC410803,FBpp0112363,"CG33181, isoform C"
EOG86Q8DG,LOC105831192,LOC408656,FBpp0099868,"CG12877, isoform C"
EOG86Q8DG,LOC105831192,LOC408656,FBpp0291798,"CG42666, isoform E"
EOG8QJT80,LOC105832079,LOC410805,FBpp0310181,Open rectifier potassium channel protein 1
EOG88KSZN,LOC105832117,LOC410806,FBpp0305939,"Histidyl-tRNA synthetase, isoform C"
EOG8DJMJ0,LOC105835093,LOC411858,FBpp0079654,GH08677p
EOG8DJMJ0,LOC105835093,LOC411858,FBpp0080234,AT28104p
EOG8D289R,LOC105835031,Pten,FBpp0088839,Phosphatase and tensin homolog
EOG85QK1Q,LOC105835104,LOC409900,FBpp0079219,Methyltransferase-like protein 14 homolog (2.1.1.-)
EOG8W101K,LOC105834981,LOC413416,FBpp0080362,Protein bicaudal C
EOG8W101K,LOC105834981,LOC102655005,FBpp0080362,Protein bicaudal C
EOG84F7ZP,LOC105834999,LOC102655950,FBpp0076329,LD46714p
EOG8PCCDG,LOC105837888,LOC409286,FBpp0079676,Stress-activated protein kinase JNK (2.7.11.24)
EOG8STTSF,LOC105837604,LOC411365,FBpp0086668,Beta4GalNAcTA
EOG8FXSX3,LOC105837607,LOC724164,FBpp0070650,RE56957p
EOG8BP2ZQ,LOC105829080,LOC409703,FBpp0305709,"Protostome-specific GEF, isoform C"
EOG84XM4N,LOC105830419,LOC412979,FBpp0074510,LD29295p
EOG883FSS,LOC105828363,LOC552234,FBpp0082571,Surfeit locus protein 4 homolog
EOG86X0XQ,LOC105830418,LOC412708,FBpp0070953,CG3226
EOG8Q5BC1,LOC105830417,LOC552139,FBpp0079310,1-acylglycerol-3-phosphate O-acyltransferase
EOG8Q5BC1,LOC105830417,LOC552139,FBpp0073521,"CG3812, isoform A"
EOG8WWT6B,LOC105839141,LOC724602,FBpp0072850,FMRFamide receptor
EOG8H47SH,LOC105833672,LOC552148,FBpp0085966,CG5757
