"Gene","GeneName"
"LOC726895","PREDICTED: uncharacterized protein C1orf112 homolog"
"LOC726896","PREDICTED: zinc finger and BTB domain-containing protein 47-like"
"LOC726898","PREDICTED: carbonic anhydrase 3"
"LOC726899","PREDICTED: death-associated inhibitor of apoptosis 1-like"
"LOC726900","PREDICTED: proteasome assembly chaperone 2-like"
"LOC726903","PREDICTED: uncharacterized protein LOC726903"
"LOC726906","PREDICTED: uncharacterized protein LOC726906"
"LOC726911","PREDICTED: threonine--tRNA ligase, cytoplasmic-like"
"LOC726915","PREDICTED: leucine-rich repeat and death domain-containing protein 1-like"
"LOC726923","PREDICTED: DNA polymerase epsilon subunit 3"
"LOC726924","PREDICTED: synapse-associated protein 1"
"LOC726934","PREDICTED: PI-PLC X domain-containing protein 1"
"LOC726935","PREDICTED: cardioacceleratory peptide receptor"
"LOC726937","PREDICTED: pupal cuticle protein C1B-like"
"LOC726947","PREDICTED: TGF-beta-activated kinase 1 and MAP3K7-binding protein 3"
"LOC726948","PREDICTED: suppressor of lurcher protein 1"
"LOC726950","PREDICTED: pupal cuticle protein 20"
"LOC726952","PREDICTED: ER degradation-enhancing alpha-mannosidase-like protein 2"
"LOC726956","PREDICTED: Golgi membrane protein 1-like"
"LOC726958","PREDICTED: tumor necrosis factor receptor superfamily member wengen"
"LOC726961","PREDICTED: testis-expressed sequence 10 protein homolog"
"LOC726963","PREDICTED: meiotic recombination protein SPO11"
"LOC726969","PREDICTED: farnesyl pyrophosphate synthase-like"
"LOC726972","PREDICTED: uncharacterized protein LOC726972"
"LOC726981","PREDICTED: circadian clock-controlled protein"
"LOC726985","PREDICTED: PH-interacting protein-like, partial"
"LOC726990","PREDICTED: uncharacterized protein LOC726990"
"LOC726991","PREDICTED: kinesin light chain"
"LOC726995","PREDICTED: endocuticle structural glycoprotein ABD-4"
"LOC726999","PREDICTED: iroquois-class homeodomain protein IRX-6-like"
"LOC727001","PREDICTED: solute carrier family 35 member C2-like"
"LOC727007","PREDICTED: alpha-tocopherol transfer protein-like"
"LOC727008","PREDICTED: probable ATP-dependent RNA helicase DDX46"
"LOC727010","PREDICTED: circadian clock-controlled protein-like"
"LOC727014","PREDICTED: 39S ribosomal protein L40, mitochondrial"
"LOC727021","PREDICTED: protein takeout-like"
"LOC727025","PREDICTED: DNA-directed RNA polymerases I, II, and III subunit RPABC4"
"LOC727026","PREDICTED: cytochrome c oxidase copper chaperone"
"LOC727027","PREDICTED: cleft lip and palate transmembrane protein 1 homolog"
"LOC727028","PREDICTED: uncharacterized protein LOC727028"
"LOC727030","PREDICTED: myotubularin-related protein 6"
"LOC727038","PREDICTED: myosin heavy chain 95F"
"LOC727050","PREDICTED: phosphatidylserine decarboxylase proenzyme, mitochondrial"
"LOC727074","PREDICTED: signal peptidase complex subunit 3"
"LOC727079","PREDICTED: fibroblast growth factor receptor substrate 2"
"LOC727081","PREDICTED: uncharacterized protein LOC727081"
"LOC727108","PREDICTED: rho GTPase-activating protein 26"
"LOC727110","PREDICTED: major royal jelly protein 1"
"LOC727113","PREDICTED: probable ATP-dependent RNA helicase spindle-E"
"LOC727116","PREDICTED: uncharacterized protein LOC727116"
"LOC727121","PREDICTED: uncharacterized protein LOC727121"
"LOC727122","PREDICTED: methyltransferase-like protein 17, mitochondrial"
"LOC727126","PREDICTED: uncharacterized protein LOC727126"
"LOC727129","PREDICTED: uncharacterized protein LOC727129"
"LOC727130","PREDICTED: progestin and adipoQ receptor family member 4"
"LOC727131","PREDICTED: spidroin-2-like"
"LOC727135","PREDICTED: uncharacterized protein LOC727135"
"LOC727141","PREDICTED: IST1 homolog"
"LOC727142","PREDICTED: uncharacterized protein C9orf85 homolog"
"LOC727147","PREDICTED: uncharacterized AAA domain-containing protein YrvN-like, partial"
"LOC727151","PREDICTED: tetratricopeptide repeat protein 12-like"
"LOC727154","PREDICTED: polypeptide N-acetylgalactosaminyltransferase 5-like"
"LOC727157","PREDICTED: pro-resilin"
"LOC107964021","PREDICTED: restin homolog"
"LOC727163","PREDICTED: uncharacterized protein LOC727163, partial"
"LOC727164","PREDICTED: eukaryotic translation initiation factor 3 subunit F-like"
"LOC727165","PREDICTED: flocculation protein FLO11-like"
"LOC727172","PREDICTED: 39S ribosomal protein L50, mitochondrial, partial"
"LOC727174","PREDICTED: nucleolar protein 11"
"LOC727180","PREDICTED: Fanconi anemia group D2 protein"
"LOC727186","PREDICTED: dolichol-phosphate mannosyltransferase subunit 3"
"LOC727189","PREDICTED: geranylgeranyl pyrophosphate synthase"
"LOC727199","PREDICTED: probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12"
"LOC727200","PREDICTED: nucleolar protein 10-like"
"LOC727212","PREDICTED: succinate dehydrogenase [ubiquinone] iron-sulfur subunit, partial"
"LOC727218","PREDICTED: eukaryotic translation initiation factor 3 subunit F"
"LOC727220","PREDICTED: esterase SG1-like, partial"
"LOC727223","PREDICTED: uncharacterized protein LOC727223"
"LOC727229","PREDICTED: protein HIRA homolog"
"LOC727231","PREDICTED: superoxide dismutase [Fe]-like"
"LOC727234","PREDICTED: cytidine deaminase-like"
"LOC727239","PREDICTED: uncharacterized protein LOC727239"
"LOC727243","PREDICTED: uncharacterized protein LOC727243"
"LOC727247","PREDICTED: non-structural maintenance of chromosomes element 1 homolog"
"LOC727249","PREDICTED: calcium/calmodulin-dependent protein kinase type 1"
"LOC727251","PREDICTED: DNA polymerase delta small subunit-like"
"LOC727261","PREDICTED: protein odr-4 homolog"
"LOC727262","PREDICTED: derlin-1-like"
"LOC727263","PREDICTED: chromobox protein homolog 5"
"LOC727266","PREDICTED: uncharacterized protein LOC727266"
"LOC727267","PREDICTED: tektin-B1"
"LOC727268","PREDICTED: protein unc-80 homolog"
"LOC727269","PREDICTED: zinc finger protein 271"
"LOC727273","PREDICTED: uncharacterized protein LOC727273"
"LOC727275","PREDICTED: proliferating cell nuclear antigen"
"LOC727277","PREDICTED: LETM1 domain-containing protein 1"
"LOC727284","PREDICTED: transcription factor Sox-10-like"
"LOC727285","PREDICTED: serendipity locus protein H-1-like"
"LOC727287","PREDICTED: transcription factor Sox-7-like"
"LOC727291","PREDICTED: chitin synthase 6, partial"
"LOC727294","PREDICTED: protein chibby homolog 1"
"LOC727300","PREDICTED: low molecular weight phosphotyrosine protein phosphatase-like"
"LOC727301","PREDICTED: ribosomal RNA large subunit methyltransferase E-like, partial"
"LOC727303","PREDICTED: probable methyltransferase BTM2 homolog"
"LOC727306","PREDICTED: bolA-like protein 3"
"LOC727307","PREDICTED: multidrug resistance-associated protein 1"
"LOC727309","PREDICTED: glutaredoxin-C4"
"LOC727310","PREDICTED: putative sodium-coupled neutral amino acid transporter 7"
"LOC727311","PREDICTED: band 7 protein AGAP004871"
"LOC727315","PREDICTED: pantothenate synthetase-like"
"LOC727319","PREDICTED: protein winged eye-like"
"LOC727322","PREDICTED: sodium- and chloride-dependent GABA transporter 1-like, partial"
"LOC727325","PREDICTED: serine acetyltransferase"
"LOC727326","PREDICTED: cysteine and histidine-rich domain-containing protein-like, partial"
"LOC727332","PREDICTED: protein BUD31 homolog"
"LOC727334","PREDICTED: selenium-binding protein 1-like"
"LOC727338","PREDICTED: sarcospan-like, partial"
"LOC727342","PREDICTED: glutamine synthetase 2 cytoplasmic-like"
"LOC727344","PREDICTED: uncharacterized protein LOC727344"
"LOC727349","PREDICTED: RNA-binding protein 1"
"LOC727357","PREDICTED: fatty acid hydroxylase domain-containing protein 2-like, partial"
"LOC727358","PREDICTED: beta-1,4-glucuronyltransferase 1-like"
"LOC727363","PREDICTED: mediator of RNA polymerase II transcription subunit 15-like"
"LOC727367","PREDICTED: glucose dehydrogenase [FAD, quinone]-like"
"LOC727368","PREDICTED: unconventional myosin-IXb-like, partial"
"LOC727377","PREDICTED: lipid A export ATP-binding/permease protein MsbA-like"
"LOC727378","PREDICTED: peptidyl-prolyl cis-trans isomerase-like 1"
"LOC727387","PREDICTED: 3-hydroxy-3-methylglutaryl-coenzyme A reductase-like, partial"
"LOC727392","PREDICTED: endocuticle structural glycoprotein SgAbd-2"
"LOC727394","PREDICTED: ATP-dependent Clp protease proteolytic subunit 1-like, partial"
"LOC727399","PREDICTED: protein numb"
"LOC727400","PREDICTED: protein timeless homolog, partial"
"LOC727406","PREDICTED: tetratricopeptide repeat protein 8-like, partial"
"LOC727408","PREDICTED: slit homolog 1 protein-like"
"LOC727410","PREDICTED: protein still life, isoforms C/SIF type 2-like"
"LOC727412","PREDICTED: pleckstrin homology domain-containing family A member 6-like"
"LOC727415","PREDICTED: protein-associating with the carboxyl-terminal domain of ezrin"
"LOC727416","PREDICTED: uncharacterized protein LOC727416"
"LOC727418","PREDICTED: uncharacterized protein LOC727418"
"LOC727419","PREDICTED: ribonuclease P protein subunit p29"
"LOC727420","PREDICTED: transmembrane protein 192"
"LOC727423","PREDICTED: uncharacterized protein LOC727423"
"LOC727434","PREDICTED: WD repeat-containing protein 7-like"
"LOC727436","PREDICTED: nuclear receptor 2C2-associated protein"
"LOC727440","PREDICTED: dystroglycan-like"
"LOC727442","PREDICTED: AT-rich interactive domain-containing protein 3A-like"
"LOC727443","PREDICTED: serine/threonine-protein phosphatase 4 catalytic subunit"
"LOC727444","PREDICTED: uncharacterized protein LOC727444"
"LOC727447","PREDICTED: nuclear pore complex protein Nup153"
"LOC727449","PREDICTED: nucleosome assembly protein 1-like 1, partial"
"LOC727453","PREDICTED: glutamate receptor ionotropic, kainate 2-like"
"LOC727454","PREDICTED: LON peptidase N-terminal domain and RING finger protein 1-like, partial"
"LOC727464","PREDICTED: uncharacterized protein LOC727464"
"LOC727465","PREDICTED: choline/ethanolaminephosphotransferase 1-like, partial"
"LOC727471","PREDICTED: NAD(P)H-hydrate epimerase"
"LOC727479","PREDICTED: zinc transporter 1"
"LOC727483","PREDICTED: ATP synthase subunit epsilon, mitochondrial-like"
"LOC727484","PREDICTED: kinesin-like protein unc-104"
"LOC727486","PREDICTED: BAG domain-containing protein Samui"
"LOC727487","PREDICTED: selenium-binding protein 1-A-like"
"LOC727493","PREDICTED: ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like"
"LOC727498","PREDICTED: uncharacterized protein LOC727498"
"LOC727502","PREDICTED: uncharacterized protein LOC727502"
"LOC727503","PREDICTED: uncharacterized protein LOC727503"
"LOC727506","PREDICTED: 60S ribosomal protein L7a"
"LOC727511","PREDICTED: cysteine-rich protein 2-binding protein-like"
"LOC727515","PREDICTED: uncharacterized protein C19orf52"
"LOC727518","PREDICTED: RING finger protein unkempt-like"
"LOC727519","PREDICTED: patronin"
"LOC727522","PREDICTED: protein G12-like"
"LOC727526","PREDICTED: catalase-like, partial"
"LOC727531","PREDICTED: putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1, partial"
"LOC727534","PREDICTED: ADP-ribose pyrophosphatase, mitochondrial"
"LOC727538","PREDICTED: regulator of microtubule dynamics protein 2-like"
"LOC727539","PREDICTED: lysocardiolipin acyltransferase 1-like"
"LOC727541","PREDICTED: octanoyltransferase-like"
"LOC727543","PREDICTED: probable cytochrome P450 6a13, partial"
"LOC727549","PREDICTED: uncharacterized protein LOC727549"
"LOC727553","PREDICTED: uncharacterized protein LOC727553, partial"
"LOC727555","PREDICTED: NF-kappa-B inhibitor alpha-like, partial"
"LOC727564","PREDICTED: glucose-1-phosphate thymidylyltransferase-like"
"LOC727568","PREDICTED: dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1"
"LOC727570","PREDICTED: CD63 antigen-like, partial"
"LOC727577","PREDICTED: tankyrase, partial"
"LOC727578","PREDICTED: uncharacterized protein LOC727578"
"LOC727584","PREDICTED: peroxisomal multifunctional enzyme type 2-like, partial"
"LOC727587","PREDICTED: trypsin-1-like, partial"
"LOC727592","PREDICTED: uncharacterized protein LOC727592"
"LOC727597","PREDICTED: sarcalumenin-like"
"LOC727598","PREDICTED: probable cytochrome P450 6a13, partial"
"LOC727599","PREDICTED: NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
"LOC727600","PREDICTED: guanine nucleotide-binding protein-like 1, partial"
"LOC727603","PREDICTED: uncharacterized protein LOC727603"
"LOC727606","PREDICTED: ankyrin repeat domain-containing protein 50-like, partial"
"LOC727607","PREDICTED: protein yellow, partial"
"LOC727612","PREDICTED: PITH domain-containing protein GA19395"
"LOC727620","PREDICTED: histone deacetylase 6"
"LOC727634","PREDICTED: activating molecule in BECN1-regulated autophagy protein 1-like"
"LOC727635","PREDICTED: lipid A export ATP-binding/permease protein MsbA-like, partial"
"LOC727641","PREDICTED: TATA-box-binding protein, partial"
"LOC727642","PREDICTED: dnaJ homolog subfamily B member 13-like"
"LOC727645","PREDICTED: guanine nucleotide-binding protein subunit alpha homolog, partial"
"LOC409150","PREDICTED: probable enoyl-CoA hydratase, mitochondrial"
"LOC727647","PREDICTED: uncharacterized protein LOC727647"
"LOC727648","PREDICTED: acylamino-acid-releasing enzyme-like"
"LOC727649","PREDICTED: uncharacterized protein LOC727649"
"LOC727650","PREDICTED: uncharacterized protein LOC727650"
"LOC727651","PREDICTED: uncharacterized protein LOC727651"
"LOC100576369","PREDICTED: ets DNA-binding protein pokkuri"
"LOC726740","PREDICTED: ubiquitin-conjugating enzyme E2 T-like"
"LOC100578113","PREDICTED: uncharacterized protein LOC100578113"
"LOC413814","PREDICTED: LOW QUALITY PROTEIN: transcription elongation factor SPT5"
"LOC100578522","PREDICTED: peroxisomal biogenesis factor 19"
"LOC411557","PREDICTED: protein FAM46C"
"LOC726072","PREDICTED: putative defense protein 3"
"LOC100576850","PREDICTED: RNA 3'-terminal phosphate cyclase-like protein"
"LOC100578334","PREDICTED: transcription factor 21"
"LOC100578600","PREDICTED: uncharacterized protein LOC100578600"
"LOC100576370","PREDICTED: nucleolar protein 58-like"
"LOC100576552","PREDICTED: uncharacterized protein LOC100576552"
"LOC100577060","PREDICTED: ankyrin repeat domain-containing protein 40-like"
"LOC100577250","PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 729"
"LOC725083","PREDICTED: clusterin-associated protein 1-like"
"LOC100577504","PREDICTED: uncharacterized protein LOC100577504"
"LOC100578929","PREDICTED: uncharacterized protein LOC100578929"
"LOC100577145","PREDICTED: sulfide:quinone oxidoreductase, mitochondrial"
"LOC100578523","PREDICTED: protein glass-like"
"LOC552292","PREDICTED: uncharacterized protein LOC552292"
"LOC100576121","PREDICTED: protein NDNF"
"LOC412994","PREDICTED: octopamine receptor beta-3R"
"LOC100576457","PREDICTED: probable ribosome biogenesis protein RLP24"
"LOC100576487","PREDICTED: apoptosis regulatory protein Siva-like"
"LOC413633","PREDICTED: serine/threonine-protein kinase BRSK2"
"LOC100576563","PREDICTED: growth factor receptor-bound protein 14-like"
"LOC100577347","PREDICTED: SET and MYND domain-containing protein 4-like"
"LOC552686","PREDICTED: breast cancer metastasis-suppressor 1-like protein"
"LOC409845","PREDICTED: potassium voltage-gated channel subfamily H member 8"
"LOC100577451","PREDICTED: glycolipid transfer protein"
"LOC100578100","PREDICTED: uncharacterized protein LOC100578100"
"LOC100576614","PREDICTED: probable ATP-dependent RNA helicase ddx42"
"LOC100577147","PREDICTED: uncharacterized protein LOC100577147"
"LOC100577300","PREDICTED: surfeit locus protein 6 homolog"
"LOC100577678","PREDICTED: suppressor of Mek1-like"
"LOC724509","PREDICTED: LOW QUALITY PROTEIN: target of rapamycin complex 2 subunit MAPKAP1"
"LOC100578162","PREDICTED: uncharacterized protein LOC100578162"
"LOC100578524","PREDICTED: uncharacterized protein LOC100578524"
"LOC100576157","PREDICTED: uncharacterized protein LOC100576157"
"LOC412896","PREDICTED: octopamine receptor beta-2R"
"LOC100576812","PREDICTED: uncharacterized protein LOC100576812"
"LOC410013","PREDICTED: calexcitin-2"
"LOC100576932","PREDICTED: uncharacterized protein LOC100576932"
"LOC726804","PREDICTED: protein BTG2-like"
"LOC100577755","PREDICTED: odorant receptor 30a-like"
"LOC411980","PREDICTED: death-associated protein kinase 1-like"
"LOC408867","PREDICTED: alpha,alpha-trehalose-phosphate synthase [UDP-forming]"
"LOC100576405","PREDICTED: protein split ends-like"
"LOC100577418","PREDICTED: uncharacterized protein LOC100577418"
"LOC726277","PREDICTED: anaphase-promoting complex subunit CDC26-like"
"LOC100578725","PREDICTED: uncharacterized protein LOC100578725"
"LOC552084","PREDICTED: oxygen-dependent coproporphyrinogen-III oxidase"
"LOC100576212","PREDICTED: odorant receptor 13a-like"
"LOC100576246","PREDICTED: odorant receptor 13a-like"
"LOC100576839","PREDICTED: uncharacterized protein LOC100576839"
"LOC100577024","PREDICTED: odorant receptor 30a-like"
"LOC409954","PREDICTED: peroxiredoxin 1"
"LOC100576220","PREDICTED: homeobox protein rough-like"
"LOC100576467","PREDICTED: sex-regulated protein janus-A-like"
"LOC100577120","PREDICTED: dual specificity protein kinase TTK"
"LOC412295","PREDICTED: nose resistant to fluoxetine protein 6"
"LOC100577638","PREDICTED: uncharacterized protein LOC100577638"
"LOC100578226","PREDICTED: zinc finger protein GLI1-like"
"LOC100578783","PREDICTED: uncharacterized protein LOC100578783"
"LOC408407","PREDICTED: translation machinery-associated protein 7 homolog"
"LOC100576527","PREDICTED: cyclic AMP-dependent transcription factor ATF-2"
"LOC724686","PREDICTED: leucine-rich repeat-containing protein 51-like"
"LOC100577045","PREDICTED: uncharacterized protein LOC100577045"
"LOC410103","PREDICTED: partner of Y14 and mago-like"
"LOC100578245","PREDICTED: uncharacterized protein LOC100578245"
"LOC413835","PREDICTED: RNA-binding protein 1-like"
"LOC100576700","PREDICTED: class A basic helix-loop-helix protein 15-like"
"LOC100576789","PREDICTED: leucine-rich repeat protein SHOC-2-like"
"LOC100576820","PREDICTED: uncharacterized protein LOC100576820"
"LOC724874","PREDICTED: facilitated trehalose transporter Tret1-like"
"LOC410765","PREDICTED: 7,8-dihydro-8-oxoguanine triphosphatase-like"
"LOC724679","PREDICTED: uncharacterized protein LOC724679"
"LOC100577325","PREDICTED: uncharacterized protein LOC100577325"
"LOC100577680","PREDICTED: uncharacterized protein LOC100577680"
"LOC100578294","PREDICTED: dynein intermediate chain 2, axonemal-like"
"LOC100578557","PREDICTED: solute carrier family 46 member 3"
"LOC727071","PREDICTED: acylglycerol kinase, mitochondrial"
"LOC412345","PREDICTED: exosome complex component RRP41"
"LOC100578006","PREDICTED: inorganic pyrophosphatase"
"LOC100578188","PREDICTED: phosphatidylinositol-glycan biosynthesis class F protein"
"LOC100578307","PREDICTED: multiple inositol polyphosphate phosphatase 1"
"LOC725453","PREDICTED: guanine nucleotide-binding protein subunit gamma-e"
"LOC725620","PREDICTED: 28S ribosomal protein S33, mitochondrial"
"LOC100578920","PREDICTED: zinc finger protein 251-like"
"LOC100577596","PREDICTED: uncharacterized protein LOC100577596"
"LOC100577908","PREDICTED: uncharacterized protein LOC100577908"
"LOC100577982","PREDICTED: RPII140-upstream gene protein"
"LOC100578363","PREDICTED: uncharacterized protein LOC100578363"
"LOC100576137","PREDICTED: uncharacterized protein LOC100576137"
"LOC100576300","PREDICTED: uncharacterized protein LOC100576300"
"LOC100576801","PREDICTED: malate dehydrogenase, cytoplasmic-like"
"LOC100577771","PREDICTED: uncharacterized protein LOC100577771"
"LOC100578128","PREDICTED: uncharacterized protein LOC100578128"
"LOC551425","PREDICTED: UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit"
"LOC100578246","PREDICTED: uncharacterized protein LOC100578246"
"LOC100578697","PREDICTED: THUMP domain-containing protein 1 homolog"
"LOC726274","PREDICTED: protein yellow"
"LOC100576289","PREDICTED: uncharacterized protein LOC100576289"
"LOC724286","PREDICTED: uncharacterized protein LOC724286"
"LOC552790","PREDICTED: peroxisomal biogenesis factor 3"
"LOC100578498","PREDICTED: tricalbin-1-like"
"LOC100578537","PREDICTED: UV radiation resistance-associated gene protein"
"LOC100578624","PREDICTED: delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"
"LOC100578885","PREDICTED: putative transcription factor capicua"
"LOC413146","PREDICTED: regulator of nonsense transcripts 2"
"LOC100577220","PREDICTED: regulatory protein MIG1-like"
"LOC100577707","PREDICTED: arginine/serine-rich coiled-coil protein 2"
"LOC409590","PREDICTED: cyclin-dependent kinase 1"
"LOC724366","PREDICTED: ras-related protein Rap-2a"
"LOC727237","PREDICTED: carbonic anhydrase 2-like"
"LOC552488","PREDICTED: F-box only protein 28"
"LOC100578067","PREDICTED: enhancer of split mgamma protein-like"
"LOC725925","PREDICTED: prolyl 3-hydroxylase OGFOD1"
"LOC100578442","PREDICTED: uncharacterized protein LOC100578442"
"LOC726205","PREDICTED: inosine triphosphate pyrophosphatase"
"LOC100576554","PREDICTED: cilia- and flagella-associated protein 69-like"
"LOC100576736","PREDICTED: uncharacterized protein LOC100576736"
"LOC100577695","PREDICTED: uncharacterized protein LOC100577695"
"LOC100577996","PREDICTED: uncharacterized protein LOC100577996"
"LOC413799","PREDICTED: mitochondrial import inner membrane translocase subunit Tim17-A"
"LOC100578791","PREDICTED: uncharacterized protein LOC100578791"
"LOC100578921","PREDICTED: uncharacterized protein LOC100578921"
"LOC100576923","PREDICTED: uncharacterized protein LOC100576923"
"LOC100577582","PREDICTED: putative mannose 6-phosphate receptor-like protein C530.09c"
"LOC409370","PREDICTED: brefeldin A-inhibited guanine nucleotide-exchange protein 1"
"LOC551833","PREDICTED: PAXIP1-associated glutamate-rich protein 1"
"LOC100578337","PREDICTED: uncharacterized protein LOC100578337"
"LOC100578828","PREDICTED: uncharacterized protein LOC100578828"
"LOC100576863","PREDICTED: uncharacterized protein LOC100576863"
"LOC100576968","PREDICTED: merlin"
"LOC100577229","PREDICTED: pro-resilin"
"LOC100577452","PREDICTED: protein brambleberry-like"
"LOC100578051","PREDICTED: uncharacterized protein LOC100578051"
"LOC411658","PREDICTED: transcriptional adapter 3-B"
"LOC100576737","PREDICTED: uncharacterized protein LOC100576737"
"LOC412342","PREDICTED: cyclin-related protein FAM58A"
"LOC412524","PREDICTED: calcium release-activated calcium channel protein 1"
"LOC410128","PREDICTED: 26S proteasome non-ATPase regulatory subunit 9"
"LOC100577026","PREDICTED: mitochondrial amidoxime-reducing component 1-like"
"LOC100577098","PREDICTED: enolase-phosphatase E1"
"LOC100577132","PREDICTED: uncharacterized protein LOC100577132"
"LOC100577221","PREDICTED: uncharacterized protein LOC100577221"
"LOC100577997","PREDICTED: CAPA peptides-like"
"LOC100578137","PREDICTED: uncharacterized protein LOC100578137"
"LOC100578235","PREDICTED: DNA-directed RNA polymerase I subunit RPA12"
"LOC100578309","PREDICTED: uncharacterized protein LOC100578309"
"LOC100578472","PREDICTED: uncharacterized protein LOC100578472"
"LOC725378","PREDICTED: nucleolar GTP-binding protein 2"
"LOC100576864","PREDICTED: myosin-2 heavy chain"
"LOC410635","PREDICTED: fumarylacetoacetate hydrolase domain-containing protein 2A"
"LOC100578560","PREDICTED: 28S ribosomal protein S18c, mitochondrial"
"LOC724542","PREDICTED: U3 small nucleolar RNA-associated protein 4 homolog"
"LOC410479","PREDICTED: uncharacterized protein LOC410479"
"LOC100576738","PREDICTED: uncharacterized protein LOC100576738"
"LOC100577629","PREDICTED: uncharacterized protein LOC100577629"
"LOC100577923","PREDICTED: protein LLP homolog"
"LOC100578068","PREDICTED: lateral signaling target protein 2 homolog"
"LOC100578649","PREDICTED: uncharacterized protein LOC100578649"
"LOC100578751","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100578751"
"LOC100577149","PREDICTED: 15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like"
"LOC100577489","PREDICTED: uncharacterized protein LOC100577489"
"LOC100576542","PREDICTED: uncharacterized protein LOC100576542"
"LOC100576615","PREDICTED: uncharacterized protein LOC100576615"
"LOC100576767","PREDICTED: uncharacterized protein LOC100576767"
"LOC100576934","PREDICTED: uncharacterized protein LOC100576934"
"LOC100577121","PREDICTED: uncharacterized protein LOC100577121"
"LOC100577431","PREDICTED: uncharacterized protein LOC100577431"
"LOC100577506","PREDICTED: uncharacterized protein LOC100577506"
"LOC100577641","PREDICTED: uncharacterized protein LOC100577641"
"LOC100577682","PREDICTED: uncharacterized protein LOC100577682"
"LOC724121","PREDICTED: uncharacterized protein LOC724121"
"LOC100578406","PREDICTED: asparagine-rich zinc finger protein AZF1-like"
"LOC100578443","PREDICTED: uncharacterized protein LOC100578443"
"LOC100578752","PREDICTED: uncharacterized protein LOC100578752"
"LOC725753","PREDICTED: transmembrane protein 45B-like"
"LOC100576555","PREDICTED: cytochrome b561 domain-containing protein 2-like"
"LOC100576924","PREDICTED: ankyrin repeat and death domain-containing protein 1A-like"
"LOC100577543","PREDICTED: fez family zinc finger protein 1-like"
"LOC100577696","PREDICTED: fez family zinc finger protein 2-like"
"LOC100578023","PREDICTED: SIFamide-related peptide"
"LOC100578090","PREDICTED: uncharacterized protein LOC100578090"
"LOC408426","PREDICTED: lysosomal thioesterase PPT2 homolog"
"LOC100578957","PREDICTED: uncharacterized protein LOC100578957"
"LOC100576174","PREDICTED: uncharacterized protein LOC100576174"
"LOC724405","PREDICTED: protein lethal(2)essential for life-like"
"LOC100576768","PREDICTED: nuclear cap-binding protein subunit 3-like"
"LOC100576866","PREDICTED: probable elongator complex protein 3"
"LOC724383","PREDICTED: centaurin-gamma-1A"
"LOC551852","PREDICTED: ubiquitin-conjugating enzyme E2-17 kDa"
"LOC551257","PREDICTED: microtubule-associated protein Jupiter"
"LOC410084","PREDICTED: exocyst complex component 6B"
"LOC100578592","PREDICTED: uncharacterized protein LOC100578592"
"LOC100576159","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100576159"
"LOC100576221","PREDICTED: zinc finger protein 26"
"LOC726543","PREDICTED: proline-rich nuclear receptor coactivator 2-like"
"LOC726706","PREDICTED: F-box/LRR-repeat protein 7"
"LOC100577998","PREDICTED: origin recognition complex subunit 3"
"LOC411343","PREDICTED: uncharacterized protein LOC411343"
"LOC100577341","PREDICTED: uncharacterized protein LOC100577341"
"LOC100577507","PREDICTED: uncharacterized protein LOC100577507"
"LOC100578399","PREDICTED: ribonuclease P protein subunit p25-like protein"
"LOC408751","PREDICTED: E3 ubiquitin-protein ligase RNF185-like"
"LOC100577810","PREDICTED: uncharacterized protein LOC100577810"
"LOC100577885","PREDICTED: uncharacterized protein LOC100577885"
"LOC100578339","PREDICTED: condensin-2 complex subunit D3-like"
"LOC551824","PREDICTED: pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15"
"LOC100577122","PREDICTED: cellular tumor antigen p53"
"LOC100578822","PREDICTED: uncharacterized protein LOC100578822"
"LOC100579058","PREDICTED: targeting protein for Xklp2-like"
"LOC408708","PREDICTED: ubiquitin-conjugating enzyme E2 S"
"LOC100576512","PREDICTED: U8-agatoxin-Ao1a-like"
"LOC100578264","PREDICTED: RNA-binding protein Musashi homolog Rbp6-like"
"LOC100578420","PREDICTED: uncharacterized protein LOC100578420"
"LOC100578727","PREDICTED: uncharacterized protein LOC100578727"
"LOC100579003","PREDICTED: PAX3- and PAX7-binding protein 1"
"LOC100576543","PREDICTED: steroid receptor RNA activator 1-like"
"LOC100577027","PREDICTED: DNA repair protein XRCC1"
"LOC100577819","PREDICTED: uncharacterized protein LOC100577819"
"LOC100578041","PREDICTED: uncharacterized protein LOC100578041"
"LOC100578421","PREDICTED: uncharacterized protein LOC100578421"
"LOC100576544","PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5"
"LOC412529","PREDICTED: tyrosine-protein phosphatase corkscrew"
"LOC100576182","PREDICTED: pupal cuticle protein G1A-like"
"LOC100576471","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100576471"
